"word","sentiment"
"tormentoso","negative"
"totalidad","positive"
"traicionero","negative"
"transgresor","negative"
"transporte","positive"
"trapisonda","negative"
"trastornar","negative"
"trauma","negative"
"triste","negative"
"ufania","negative"
"valeroso","positive"
"valiente","positive"
"vanidad","negative"
"vareta","negative"
"vehemencia","negative"
"venganza","negative"
"vengar","negative"
"ventaja","positive"
"ventolera","negative"
"veracidad","positive"
"verde","negative"
"vigorizar","positive"
"virulento","negative"
"vital","positive"
"vitriolico","negative"
"voceador","negative"
"vociferador","negative"
"zamarro","negative"
"zurullo","negative"
"accesible","positive"
"acumulacion","negative"
"adaptar","positive"
"aliviar","positive"
"aproximado","negative"
"autoritario","negative"
"basico","positive"
"bondad","positive"
"calibre","positive"
"caligrafia","positive"
"cambio","positive"
"centenario","positive"
"cerrado","negative"
"complejo","negative"
"convencional","positive"
"crucial","positive"
"culpable","negative"
"cumplido","positive"
"destruido","negative"
"emocion","positive"
"energia","positive"
"envidia","positive"
"escondido","negative"
"eventual","negative"
"exactitud","positive"
"extinto","negative"
"falacia","negative"
"favorable","positive"
"festivo","positive"
"fidelidad","positive"
"forzado","negative"
"fragil","negative"
"horas","negative"
"hostil","negative"
"idealismo","positive"
"imposicion","negative"
"incrementado","positive"
"infinidad","negative"
"inflamacion","negative"
"informe","negative"
"instruccion","positive"
"inusual","negative"
"invencion","negative"
"legendario","negative"
"legitimidad","positive"
"ligero","negative"
"liquido","positive"
"listo","positive"
"martirio","negative"
"matematico","positive"
"mejor","positive"
"moderado","negative"
"mono","positive"
"moral","positive"
"mudo","negative"
"naturalista","negative"
"neutral","negative"
"nirvana","negative"
"olvidar","negative"
"ordenado","positive"
"original","negative"
"ortodoxo","positive"
"pago","positive"
"paro","negative"
"partidario","positive"
"patente","positive"
"polar","negative"
"popularidad","positive"
"potable","positive"
"preciso","positive"
"preservar","negative"
"privado","negative"
"progresivo","positive"
"proporcionado","positive"
"queja","negative"
"quiebra","negative"
"rebelde","negative"
"reconocido","negative"
"recuperado","positive"
"renunciar","negative"
"restauracion","positive"
"retirado","negative"
"retorica","negative"
"riesgo","negative"
"rumor","negative"
"sancion","negative"
"seco","negative"
"seguro","positive"
"simpatia","positive"
"sufrir","negative"
"sutil","positive"
"teorema","positive"
"teoria","negative"
"total","positive"
"tragedia","negative"
"tranquilidad","negative"
"tuberculos","negative"
"vano","negative"
"virtud","positive"
"vivido","positive"
"abarraganamiento","negative"
